_id,ltable_reviewid,rtable_id,ltable_title,ltable_artist,ltable_year,rtable_title,rtable_artist,rtable_year,label
266359,15851,371811,only in dreams,dum dum girls,2011,only in dreams,dum dum girls/dum dum girls,2011,1
204052,21710,978048,living life golden,elliphant,2016,living life golden,elliphant/elliphant,2016,1
227873,20852,84401,colors of the sun,hatchback,2015,colors of the sun,hatchback/hatchback,2008,1
152548,1579,138022,the golden age,bobby conn,2001,the golden age,american music club/american music club,2008,0
145650,11132,247373,here come the 123s,they might be giants,2008,here come the 123s,they might be giants,2008,1
423379,11202,107313,the airing of grievances,titus andronicus,2008,the airing of grievances,titus andronicus,2008,1
254985,85,113322,the last match,the aislers set,2000,the last match,the aislers set,2000,1
616953,7539,12410,first impressions of earth,the strokes,2006,first impressions of earth,the strokes,2006,1
669782,19201,698556,so it goes,ratking,2014,so it goes,ratking (2)/ratking (2),2014,1
317010,20178,804691,i wasn't born to lose you,swervedriver,2015,i wasn't born to lose you,swervedriver,2015,1
665158,3619,25193,legend of the liquid sword,gza,2002,legend of the liquid sword,gza/gza/the genius/the genius,2002,1
124539,22200,1133963,start your own fucking show space,various artists,2016,start your own fucking show space,various/various,2016,1
613451,10828,15130,in the vines,castanets,2007,in the vines,castanets/castanets,2007,1
466471,1998,210573,big apple rappin',various artists,2006,big apple rappin',various/various,2006,1
96294,21521,512512,all i need,foxes,2016,all i need,daz dillinger/daz dillinger,2005,0
318145,9157,19420,the return of dr. octagon,dr. octagon,2006,the return of dr. octagon,dr. octagon,2006,1
446107,21854,999677,songs from wonder.land,various artists,2016,songs from wonder.land,damon albarn/moira buffini/rufus norris,2016,0
235081,14704,279245,the caliph's tea party,gonjasufi,2010,the caliph's tea party,gonjasufi/gonjasufi,2010,1
77526,9961,308094,songs for the young at heart,various artists,2007,songs for the young at heart,songs for the young at heart/songs for the young at heart,2007,0
528262,18178,97408,excuse my french,french montana,2013,excuse my french,2 be 3,2000,0
133217,10814,46447,the world is yours,ian brown,2007,the world is yours,ian brown/ian brown,2007,1
593519,20126,787996,tierra y libertad,xibalba,2015,tierra y libertad,xibalba (3),2015,1
666031,4328,270661,ghost of david,damien jurado,2000,ghost of david,damien jurado/damien jurado,2000,1
548410,22246,857386,open your eyes,dj earl,2016,open your eyes,ula (6),2014,0
560052,19964,364139,one more ep,elliphant,2014,one more ep,pezzner/pezzner,2011,0
641804,2076,574235,eccentric soul: the bandit label,various artists,2005,eccentric soul: the bandit label,various/various,2004,1
637053,12662,44109,"it's not me, it's you",lily allen,2009,"it's not me, it's you",lily allen,2009,1
70195,8427,538176,noites do norte,caetano veloso,2001,noites do norte,caetano veloso/caetano veloso,2000,1
40157,10783,596953,live from austin tx,david byrne,2007,live from austin tx,susan tedeschi/susan tedeschi,2012,0
338903,13245,918575,wait for me,moby,2009,wait for me,jubilant sykes,2001,0
264443,6023,332159,new comes and goes,oranger,2005,new comes and goes,oranger/oranger,2005,1
680202,18801,630882,7 days of funk,7 days of funk,2013,7 days of funk,7 days of funk,2013,1
584585,292,2908,as if to nothing,craig armstrong,2002,as if to nothing,craig armstrong/craig armstrong,2002,1
218384,4158,9210,gods and monsters,i am kloot,2005,gods and monsters,i am kloot/i am kloot,2005,1
614619,17216,590239,no love deep web,death grips,2012,no love deep web,death grips,2012,1
494267,15447,338786,passed me by,andy stott,2011,passed me by,andy stott/andy stott,2011,1
372807,12423,783447,live at the triple door,greg dulli,2008,live at the triple door,fungal abyss/fungal abyss,2014,0
555908,11004,202192,ecstatic eyes glow glossy,mass shivers,2007,ecstatic eyes glow glossy,mass shivers/mass shivers,2005,1
451549,17268,682412,behind the mirror,outer minds,2012,behind the mirror,mathew jonson/mathew jonson,2004,0
680577,4902,966159,the great destroyer,low,2005,the great destroyer,gadget (6),2016,0
411928,657,148810,the alternative to love,brendan benson,2005,the alternative to love,brendan benson/brendan benson,2005,1
553621,16912,546605,somethin 'bout kreay,kreayshawn,2012,somethin 'bout kreay,kreayshawn/kreayshawn,2012,1
417782,7726,895544,the early years,sparrow,2005,the early years,subculture (12)/subculture (12),2015,0
255255,16668,438921,this is pil,public image ltd,2012,this is pil,public image limited/public image limited,2012,1
601733,22420,1065672,"22, a million",bon iver,2016,"22, a million",bon iver/bon iver,2016,1
189220,16236,279866,i love you,jason urick,2012,i love you,diana ross,2006,0
530416,9214,181696,tower of love,jim noir,2006,tower of love,jim noir/jim noir,2005,1
423426,18017,587589,to be close to you,julia brown,2013,to be close to you,julia brown (2),2013,1
586701,7480,227393,silence is easy,starsailor,2003,silence is easy,starsailor/starsailor,2003,1
564521,17067,775833,the expanding universe,laurie spiegel,2012,the expanding universe,let it burn/let it burn,2004,0
441872,5160,68448,mastered by guy at the exchange,max tundra,2002,mastered by guy at the exchange,max tundra/max tundra,2002,1
604776,21669,968992,no fantasy required,tiga,2016,no fantasy required,tiga/tiga,2016,1
330327,13611,926597,break it up,jemina pearl,2009,break it up,maverick (33)/maverick (33),2015,0
331368,5668,1006794,the very best of,men's recovery project,2005,the very best of,l.a. guns/l.a. guns,2006,0
167787,3045,34201,get rich or die tryin',50 cent,2003,get rich or die tryin',50 cent,2003,1
263411,5664,143500,welcome to jamrock,damian marley,2005,welcome to jamrock,damian marley/damian marley,2005,1
410930,19607,709590,constricting rage of the merciless,goatwhore,2014,constricting rage of the merciless,goatwhore/goatwhore,2014,1
424706,22691,1009307,love you to death,the-dream,2016,love you to death,tegan and sara,2016,0
130880,5504,44851,green grass of tunnel,mm,2002,green grass of tunnel,múm/múm,2002,1
118664,6298,113825,blue screen life,pinback,2001,blue screen life,pinback/pinback,2001,1
272949,14833,582147,live in japan,fenn o'berg,2010,live in japan,"enrico pieranunzi, marc johnson, joey baron/enrico pieranunzi, marc johnson, joey baron",2007,0
243069,17286,482397,order of noise,vessel,2012,order of noise,vessel (5)/vessel (5),2012,1
342930,16338,417084,the keychain collection,gang colours,2012,the keychain collection,gang colours/gang colours,2012,1
165869,5920,125890,city lights volume 1.5,nicolay,2005,city lights volume 1.5,nicolay/nicolay,2005,1
131178,2656,179879,jefferson at rest,early day miners,2003,jefferson at rest,early day miners/early day miners,2003,1
173732,1484,75463,empty the bones of you,chris clark,2003,empty the bones of you,chris clark/chris clark,2003,1
419288,13158,347853,i love you,amanda blank,2009,i love you,sabrina salerno/sabrina salerno,1999,0
188959,19998,755549,broke with expensive taste,azealia banks,2014,broke with expensive taste,azealia banks,2014,1
318871,8618,66967,"if you can't beat 'em, bite 'em",weird war,2004,"if you can't beat 'em, bite 'em",weird war,2004,1
230786,12649,732546,in the city,kevin rudolf,2008,in the city,accu,2005,0
25509,17312,546030,desert strike ep,fatima al qadiri,2012,desert strike ep,fatima al qadiri/fatima al qadiri,2012,1
107264,4014,915690,the ultimate collection,billie holiday,2005,the ultimate collection,firehouse (2),2000,0
421241,4350,43048,the ultimate collection,michael jackson,2004,the ultimate collection,samantha sang/samantha sang,2007,0
110900,13582,619717,skin and bones,flashy python,2009,skin and bones,click click/click click,2011,0
661210,3863,55168,surrounded by thieves,high on fire,2002,surrounded by thieves,high on fire,2002,1
129562,105,32671,a word in your ear,alfie,2002,a word in your ear,alfie/alfie,2002,1
234471,7726,604359,the early years,sparrow,2005,the early years,dannii minogue/dannii minogue,2009,0
61453,18256,581125,andy and his grandmother,andy kaufman,2013,andy and his grandmother,andy kaufman/andy kaufman,2013,1
467445,12247,292550,eyes at half mast,talkdemonic,2008,eyes at half mast,talkdemonic/talkdemonic,2008,1
301568,7650,256236,this flag signals goodbye,swearing at motorists,2002,this flag signals goodbye,swearing at motorists/swearing at motorists,2002,1
584000,10399,362146,at my age,nick lowe,2007,at my age,nick lowe/nick lowe,2007,1
608408,10723,600200,turn my teeth up!,baby elephant,2007,turn my teeth up!,baby elephant (2)/baby elephant (2),2007,1
621159,5667,669509,into the woods,malcolm middleton,2005,into the woods,the happy couple/the happy couple,2014,0
630125,18550,597705,nobody realizes this is nowhere,terry malts,2013,nobody realizes this is nowhere,terry malts/terry malts,2013,1
450802,16356,417056,break it yourself,andrew bird,2012,break it yourself,andrew bird/andrew bird,2012,1
196143,14833,1090491,live in japan,fenn o'berg,2010,live in japan,rainbow/rainbow,2015,0
673131,9913,949278,the early years,the early years,2007,the early years,elvis presley/elvis presley,2006,0
494491,9913,5357,the early years,the early years,2007,the early years,the early years/the early years,2006,0
381018,2078,174663,cult cargo: belize city boil up,various artists,2005,cult cargo: belize city boil up,various/various,2005,1
530404,15610,342728,is this hyperreal?,atari teenage riot,2011,is this hyperreal?,atari teenage riot/atari teenage riot,2011,1
580901,15811,368346,"father, son, holy ghost",girls,2011,"father, son, holy ghost",girls (5)/girls (5),2011,1
527668,16328,414589,corrosion of conformity,corrosion of conformity,2012,corrosion of conformity,corrosion of conformity,2012,1
573070,21617,976694,hella personal film festival,open mike eagle & paul white,2016,hella personal film festival,open mike eagle/paul white (4),2016,1
379279,12817,861509,en hand i himlen,jonathan johansson,2009,en hand i himlen,jonathan johansson/jonathan johansson,2009,1
19137,8327,246490,the best of 1990-2000,u2,2002,the best of 1990-2000,u2,2002,1
487400,19923,759587,sun zoom spark: 1970 to 1972,captain beefheart,2014,sun zoom spark: 1970 to 1972,captain beefheart/captain beefheart,2014,1
603072,11109,74715,no ground under,ghislain poirier,2008,no ground under,ghislain poirier/ghislain poirier,2007,1
228191,4738,233107,the tyranny of distance,ted leo and the pharmacists,2001,the tyranny of distance,ted leo / pharmacists/ted leo / pharmacists,2001,1
301876,12987,212424,a ways away,tara jane o'neil,2009,a ways away,tara jane o'neil/tara jane o'neil,2009,1
430168,16528,435051,what kind of world,brendan benson,2012,what kind of world,brendan benson/brendan benson,2012,1
579669,1591,237703,tournament of hearts,constantines,2005,tournament of hearts,constantines/constantines,2005,1
536992,132,55666,the impossible thrill,alpha,2001,the impossible thrill,alpha/alpha,2001,1
678779,13010,312689,we be xuxa,mika miko,2009,we be xuxa,mika miko/mika miko,2009,1
242937,7726,488077,the early years,sparrow,2005,the early years,eluveitie/eluveitie,2012,0
168097,10550,145053,twilight of the innocents,ash,2007,twilight of the innocents,ash,2007,1
249747,12915,195470,some sweet relief,speck mountain,2009,some sweet relief,speck mountain/speck mountain,2009,1
470374,19224,676073,built on glass,chet faker,2014,built on glass,chet faker/chet faker,2014,1
189662,21462,950594,is the is are,diiv,2016,is the is are,diiv,2016,1
310385,16694,452606,hope in dirt city,cadence weapon,2012,hope in dirt city,cadence weapon/cadence weapon,2012,1
284394,11170,109530,12 crass songs,jeffrey lewis & the jitters,2008,12 crass songs,jeffrey lewis/jeffrey lewis,2007,1
334292,9187,790281,safe as houses,parenthetical girls,2006,safe as houses,mankato/mankato,2003,0
556667,12829,9958,i blame you,obits,2009,i blame you,obits/obits,2009,1
573653,7954,95504,words of wisdom and hope,"jad fair, teenage fanclub",2002,words of wisdom and hope,teenage fanclub and jad fair,2002,1
455016,5032,715691,back to the front,the magic band,2003,back to the front,entombed a.d./entombed a.d.,2014,0
488026,5148,1071765,bring it back,mates of state,2006,bring it back,global deejays/global deejays/niels van gogh/niels van gogh,2011,0
596946,15446,338593,street of the love of days,amor de das,2011,street of the love of days,amor de días/amor de días,2011,1
632220,4553,129910,on my way,ben kweller,2004,on my way,beatrice/beatrice/mike koglin/mike koglin,1999,0
154015,13627,285813,let it die,the shaky hands,2009,let it die,the shaky hands/the shaky hands,2009,1
446793,18516,1094040,peter pan syndrome,j-zone,2013,peter pan syndrome,david keno/david keno,2007,0
592399,9662,25797,in the absence of truth,isis,2006,in the absence of truth,isis (6),2006,1
367753,3577,72226,back to mine,groove armada,2010,back to mine,everything but the girl/everything but the girl,2000,0
168684,5903,47498,the eye of every storm,neurosis,2004,the eye of every storm,neurosis,2004,1
180077,16326,413353,the slideshow effect,memoryhouse,2012,the slideshow effect,memoryhouse/memoryhouse,2012,1
214355,8248,879021,the complete recordings,28th day,2003,the complete recordings,the classical jazz quartet/the classical jazz quartet,2004,0
376623,11549,8166,lie down in the light,bonnie prince billy,2008,lie down in the light,"bonnie ""prince"" billy/bonnie ""prince"" billy",2008,1
477066,11216,620202,the imagination stage,eric matthews,2008,the imagination stage,eric matthews/eric matthews,2008,1
190848,13158,146197,i love you,amanda blank,2009,i love you,cheri dennis/cheri dennis,2006,0
29400,10367,33536,the boy with no name,travis,2007,the boy with no name,travis/travis,2007,1
138056,22546,1074487,nordic mediterranean organization / numerous miscommunications occur,n.m.o.,2016,nordic mediterranean organization / numerous miscommunications occur,n.m.o./n.m.o.,2016,1
400757,17992,927734,golden rules for golden people,pretty & nice,2013,golden rules for golden people,pretty & nice/pretty & nice,2013,1
603786,13906,203099,sigh no more,mumford & sons,2010,sigh no more,mumford & sons/mumford & sons,2009,1
467737,16594,432848,motion sickness of time travel,motion sickness of time travel,2012,motion sickness of time travel,motion sickness of time travel/motion sickness of time travel,2012,1
157055,14325,612901,"twistable, turnable man: a musical tribute to the songs of shel silverstein",various artists,2010,"twistable, turnable man: a musical tribute to the songs of shel silverstein",various/various,2010,1
571929,7076,9594,sings reign rebuilder,set fire to flames,2001,sings reign rebuilder,set fire to flames,2001,1
304168,17616,517123,waiting for something to happen,veronica falls,2013,waiting for something to happen,veronica falls/veronica falls,2013,1
327546,20495,851970,live at carnegie hall,ryan adams,2015,live at carnegie hall,ryan adams/ryan adams,2015,1
640827,2368,236838,rainbows and robots,dj me dj you,2000,rainbows and robots,dj me dj you/dj me dj you,2000,1
350434,7583,107667,the rising tide,sunny day real estate,2000,the rising tide,sunny day real estate/sunny day real estate,2000,1
10450,11116,24760,coloured in memory,fairmont,2007,coloured in memory,fairmont/fairmont,2007,1
478981,17329,645871,into the future,bad brains,2012,into the future,k90/k90,2000,0
148471,14842,287848,pyramid of the sun,maserati,2010,pyramid of the sun,maserati/maserati,2010,1
433216,8505,563823,down for whatever,vue,2003,down for whatever,vue/vue,2003,1
424707,10592,854968,guilt by association,various artists,2007,guilt by association,various,2007,1
550176,19932,754953,sings christmas carols,mark kozelek,2014,sings christmas carols,mark kozelek,2014,1
316112,8620,87360,time (the revelator),gillian welch,2001,time (the revelator),gillian welch,2001,1
31964,3577,854497,back to mine,groove armada,2010,back to mine,bugz in the attic/bugz in the attic,2007,0
536140,6899,274993,god's got it: the legendary booker and jackson singles,reverend charlie jackson,2003,god's got it: the legendary booker and jackson singles,reverend charlie jackson/reverend charlie jackson,2003,1
351097,11500,556048,maybe they will sing for us tomorrow,hammock,2008,maybe they will sing for us tomorrow,hammock/hammock,2008,1
138212,21006,886156,pagans in vegas,metric,2015,pagans in vegas,metric/metric,2015,1
540405,9592,152038,the light at the end of the tunnel is a train,whitey,2006,the light at the end of the tunnel is a train,whitey/whitey,2005,1
380149,10901,261616,the complete on the corner sessions,miles davis,2007,the complete on the corner sessions,miles davis/miles davis,2007,1
654803,20260,656449,the long goodbye,an autumn for crippled children,2015,the long goodbye,john paul white/john paul white,2013,0
129262,11737,8681,living in the gleam of an unsheathed sword,earth,2005,living in the gleam of an unsheathed sword,earth (2)/earth (2),2005,1
100549,18309,199921,beach house 2,ty dolla $ign,2013,beach house 2,various/various,2001,0
232241,3550,117205,just like the fambly cat,grandaddy,2006,just like the fambly cat,grandaddy,2006,1
621061,9913,821901,the early years,the early years,2007,the early years,bee gees/bee gees,2008,0
589045,16485,673144,strange grey days,chains of love,2012,strange grey days,chains of love/chains of love,2012,1
183682,22514,1072884,you want it darker,leonard cohen,2016,you want it darker,leonard cohen/leonard cohen,2016,1
400527,12113,52804,back to the cat,barry adamson,2008,back to the cat,barry adamson/barry adamson,2008,1
65902,17048,472230,look to the sky,james iha,2012,look to the sky,james iha/james iha,2012,1
679016,13504,191288,man on the moon: the end of day,kid cudi,2009,man on the moon: the end of day,kid cudi/kid cudi,2009,1
389132,8747,536779,disciples of the 36 chambers: chapter 1,wu-tang clan,2004,disciples of the 36 chambers: chapter 1,wu-tang clan/wu-tang clan,2004,1
176681,21012,885593,la vie est belle / life is beautiful,petite noir,2015,la vie est belle / life is beautiful,petite noir/petite noir,2015,1
357667,14733,179370,last day of summer,white denim,2010,last day of summer,magnet (2)/magnet (2),2003,0
86016,21047,889066,savage hills ballroom,youth lagoon,2015,savage hills ballroom,youth lagoon/youth lagoon,2015,1
429406,18720,618459,back to land,wooden shjips,2013,back to land,wooden shjips/wooden shjips,2013,1
593590,18178,844266,excuse my french,french montana,2013,excuse my french,2 be 3,2001,0
175367,7818,137188,shut up i am dreaming,sunset rubdown,2006,shut up i am dreaming,sunset rubdown/sunset rubdown,2006,1
446794,13160,100349,man of aran,british sea power,2009,man of aran,british sea power/british sea power,2009,1
179693,15246,589709,who you are,jessie j,2011,who you are,cary brothers/cary brothers,2007,0
588383,17831,590198,you have already gone to the other world,a hawk and a hacksaw,2013,you have already gone to the other world,a hawk and a hacksaw/a hawk and a hacksaw,2013,1
192487,2763,730453,past and present futurists,eltro,2003,past and present futurists,eltro/eltro,2003,1
